date,title,pdf_filename,url
23/04/2021,Comunicado del Consejo Fiscal sobre la priorización de proyectos de inversión del sector Transportes y Comunicaciones que afectarían la sostenibilidad fiscal de mediano plazo,Comunicado_del_Consejo_Fiscal_sobre_la_priorización_de_proyectos_de_inversión_del_sector_Transportes.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-priorizacion-de-proyectos-de-inversion-del-sector-transportes-y-comunicaciones-que-afectarian-la-sostenibilidad-fiscal-de-mediano-plazo/
11/03/2021,Comunicado del Consejo Fiscal sobre la aprobación de la norma que incorpora a los trabajadores públicos del régimen CAS a otros regímenes laborales,Comunicado_del_Consejo_Fiscal_sobre_la_aprobación_de_la_norma_que_incorpora_a_los_trabajadores_públi.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-aprobacion-de-la-norma-que-incorpora-a-los-trabajadores-publicos-del-regimen-cas-a-otros-regimenes-laborales/
16/12/2020,Comunicado del Consejo Fiscal sobre la aprobación de nuevas normas que vulneran la responsabilidad fiscal,Comunicado_del_Consejo_Fiscal_sobre_la_aprobación_de_nuevas_normas_que_vulneran_la_responsabilidad_f.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-aprobacion-de-nuevas-normas-que-vulneran-la-responsabilidad-fiscal/
02/12/2020,Comunicado del Consejo Fiscal sobre la aprobación de la norma que establece el régimen de devolución de los aportes realizados a la ONP,Comunicado_del_Consejo_Fiscal_sobre_la_aprobación_de_la_norma_que_establece_el_régimen_de_devolución.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-aprobacion-de-la-norma-que-establece-el-regimen-de-devolucion-de-los-aportes-realizados-a-la-onp/
24/11/2020,Comunicado del Consejo Fiscal llamando a la responsabilidad fiscal,Comunicado_del_Consejo_Fiscal_llamando_a_la_responsabilidad_fiscal.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-llamando-a-la-responsabilidad-fiscal/
01/04/2020,Comunicado del Consejo Fiscal ante la crisis generada por la pandemia del Covid-19,Comunicado_del_Consejo_Fiscal_ante_la_crisis_generada_por_la_pandemia_del_Covid-19.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-ante-la-crisis-generada-por-la-pandemia-del-covid-19/
19/06/2025,Informe N° 02-2025-CF – Opinión del Consejo Fiscal sobre la situación de las finanzas públicas subnacionales,Informe_N_02-2025-CF.pdf,https://cf.gob.pe/documentos/informe-n-02-2025-cf-opinion-del-consejo-fiscal-sobre-la-situacion-de-las-finanzas-publicas-subnacionales/
15/05/2025,Informe N° 01-2025-CF – Opinión del Consejo Fiscal sobre el Informe de Actualización de Proyecciones Macroeconómicas 2025-2028,Informe_N_01-2025-CF.pdf,https://cf.gob.pe/documentos/informe-n-01-2025-cf-opinion-del-consejo-fiscal-sobre-el-informe-de-actualizacion-de-proyecciones-macroeconomicas-2025-2028/
23/08/2024,Informe N° 05-2024-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico  Multianual 2025-2028,Informe_N_05-2024-CF.pdf,https://cf.gob.pe/documentos/informe-n-05-2024-cf-opinion-del-consejo-fiscal-sobre-el-proyecto-de-marco-macroeconomico-multianual-2025-2028/
24/07/2024,Informe N° 04-2024-CF – Opinión del Consejo Fiscal acerca de la modificación de las reglas fiscales  dispuesta por el Decreto Legislativo N° 1621,Informe_N_04-2024-CF.pdf,https://cf.gob.pe/documentos/opinion-del-consejo-fiscal-acerca-de-la-modificacion-de-las-reglas-fiscales-dispuesta-por-el-decreto-legislativo-n-1621/
